County,Real_GDP_Thousands_of_Chained_2012_dollars_2018,Real_GDP_Thousands_of_Chained_2012_dollars_2019,Real_GDP_Thousands_of_Chained_2012_dollars_2020,Real_GDP_Thousands_of_Chained_2012_dollars_2021,Rank_in_State,Percent_Change_Preceding_Period_2019,Percent_Change_Preceding_Period_2020,Percent_Change_Preceding_Period_2021,Rank_in_State
Iowa,173547724,173721980,170957361,179752962,NA,0.1,-1.6,5.1,NA
Adair,325827,339746,406617,430503,78,4.3,19.7,5.9,45
Adams,224682,226978,205119,207934,97,1,-9.6,1.4,84
Allamakee,600563,605620,599636,573076,63,0.8,-1,-4.4,97
Appanoose,370814,369809,370658,395869,83,-0.3,0.2,6.8,34
Audubon,275637,326791,304569,290891,91,18.6,-6.8,-4.5,98
Benton,789660,814445,862429,901547,36,3.1,5.9,4.5,61
Black Hawk,7140398,7056978,7026356,7513102,5,-1.2,-0.4,6.9,33
Boone,932213,951690,975705,1006742,33,2.1,2.5,3.2,69
Bremer,1023103,1023743,974423,1043942,30,0.1,-4.8,7.1,30
Buchanan,753817,767120,754161,749966,47,1.8,-1.7,-0.6,91
Buena Vista,1270990,1218112,1230413,1311448,22,-4.2,1,6.6,36
Butler,392350,399983,404061,494350,72,1.9,1,22.3,1
Calhoun,428089,426124,409768,424983,79,-0.5,-3.8,3.7,67
Carroll,1349153,1298116,1229380,1246071,23,-3.8,-5.3,1.4,85
Cass,634827,611654,585648,622321,60,-3.7,-4.3,6.3,41
Cedar,589466,587540,573815,640559,57,-0.3,-2.3,11.6,12
Cerro Gordo,2326139,2218668,2209743,2240617,13,-4.6,-0.4,1.4,83
Cherokee,695746,628000,630883,648133,55,-9.7,0.5,2.7,73
Chickasaw,664764,628955,596718,627968,58,-5.4,-5.1,5.2,54
Clarke,405006,374281,367123,384201,85,-7.6,-1.9,4.7,60
Clay,984667,1030457,1003379,1029992,31,4.7,-2.6,2.7,76
Clayton,870492,879505,799014,820076,43,1,-9.2,2.6,77
Clinton,2059088,2001902,2002815,2120001,14,-2.8,0,5.9,46
Crawford,750648,742222,711402,720962,51,-1.1,-4.2,1.3,86
Dallas,4467196,4743328,4881625,5228612,7,6.2,2.9,7.1,31
Davis,256372,244332,228916,237836,95,-4.7,-6.3,3.9,66
Decatur,197985,189614,178279,189054,98,-4.2,-6,6,44
Delaware,946052,902970,864826,881490,38,-4.6,-4.2,1.9,80
Des Moines,2057985,1973871,1885171,1936224,16,-4.1,-4.5,2.7,74
Dickinson,905761,966781,969403,1067394,29,6.7,0.3,10.1,18
Dubuque,5839277,6074858,6103861,6428433,6,4,0.5,5.3,51
Emmet,381155,381270,330346,391097,84,0,-13.4,18.4,3
Fayette,755182,727080,711256,725623,49,-3.7,-2.2,2,79
Floyd,815503,778890,721174,761194,46,-4.5,-7.4,5.5,49
Franklin,609144,600746,579541,641618,56,-1.4,-3.5,10.7,15
Fremont,244792,306767,300201,324019,88,25.3,-2.1,7.9,27
Greene,459561,457794,465913,526462,70,-0.4,1.8,13,10
Grundy,462289,476270,498530,539002,69,3,4.7,8.1,24
Guthrie,460428,416767,447524,443362,76,-9.5,7.4,-0.9,92
Hamilton,922033,847174,722027,768177,45,-8.1,-14.8,6.4,38
Hancock,799627,770939,709901,837089,42,-3.6,-7.9,17.9,4
Hardin,866796,822475,746142,793480,44,-5.1,-9.3,6.3,39
Harrison,385073,393097,392892,437446,77,2.1,-0.1,11.3,13
Henry,872299,850309,837869,892825,37,-2.5,-1.5,6.6,37
Howard,454619,460051,447959,484258,73,1.2,-2.6,8.1,25
Humboldt,440656,454820,439646,459208,75,3.2,-3.3,4.4,62
Ida,463660,485715,538661,563854,65,4.8,10.9,4.7,59
Iowa,1091228,1042440,995501,1102128,27,-4.5,-4.5,10.7,16
Jackson,614067,606161,615555,618355,61,-1.3,1.5,0.5,89
Jasper,1067939,1126736,1113771,1159870,26,5.5,-1.2,4.1,65
Jefferson,647553,646730,620449,669907,54,-0.1,-4.1,8,26
Johnson,8515465,8498471,8303741,8537932,4,-0.2,-2.3,2.8,72
Jones,588213,578626,593733,623939,59,-1.6,2.6,5.1,55
Keokuk,352525,346187,317424,322682,89,-1.8,-8.3,1.7,82
Kossuth,955054,914957,832999,948457,34,-4.2,-9,13.9,8
Lee,1588097,1624850,1614305,1633427,19,2.3,-0.6,1.2,87
Linn,15782274,15327482,14926296,15325670,2,-2.9,-2.6,2.7,75
Louisa,661017,720660,706937,854265,40,9,-1.9,20.8,2
Lucas,292436,293431,295906,288814,92,0.3,0.8,-2.4,95
Lyon,1039100,1016328,948426,931666,35,-2.2,-6.7,-1.8,94
Madison,381783,381111,374902,404262,81,-0.2,-1.6,7.8,28
Mahaska,906418,860713,795049,840073,41,-5,-7.6,5.7,48
Marion,1799279,1942907,1918220,2085254,15,8,-1.3,8.7,22
Marshall,1727443,1715785,1743481,1775025,18,-0.7,1.6,1.8,81
Mills,497921,553673,487386,511033,71,11.2,-12,4.9,57
Mitchell,658822,666840,567921,566918,64,1.2,-14.8,-0.2,90
Monona,296954,311058,313324,334119,87,4.7,0.7,6.6,35
Monroe,382358,386143,375779,403641,82,1,-2.7,7.4,29
Montgomery,391264,388981,373184,417989,80,-0.6,-4.1,12,11
Muscatine,2476466,2398389,2365843,2435065,11,-3.2,-1.4,2.9,70
O'Brien,936027,924797,883886,870828,39,-1.2,-4.4,-1.5,93
Osceola,472584,407141,353986,364181,86,-13.8,-13.1,2.9,71
Page,558595,572202,561079,590647,62,2.4,-1.9,5.3,53
Palo Alto,631894,575526,493877,548512,67,-8.9,-14.2,11.1,14
Plymouth,1440871,1433667,1338782,1409598,21,-0.5,-6.6,5.3,52
Pocahontas,587861,603369,533759,539729,68,2.6,-11.5,1.1,88
Polk,38892998,39631025,39863720,42342831,1,1.9,0.6,6.2,42
Pottawattamie,4077003,3898489,3677816,3861713,10,-4.4,-5.7,5,56
Poweshiek,1034574,1044710,1093160,1199807,25,1,4.6,9.8,19
Ringgold,192958,196726,184489,168931,99,2,-6.2,-8.4,99
Sac,565941,572467,529463,558007,66,1.2,-7.5,5.4,50
Scott,8517398,8743226,8556669,8912158,3,2.7,-2.1,4.2,64
Shelby,680241,689603,655375,709068,52,1.4,-5,8.2,23
Sioux,2655889,2561608,2407557,2346052,12,-3.5,-6,-2.6,96
Story,4968651,5019153,4924101,5158546,8,1,-1.9,4.8,58
Tama,588303,604547,683420,723193,50,2.8,13,5.8,47
Taylor,233301,242638,244249,267552,93,4,0.7,9.5,20
Union,573418,587600,636521,693602,53,2.5,8.3,9,21
Van Buren,224392,215194,200218,230622,96,-4.1,-7,15.2,6
Wapello,1490180,1485681,1450894,1540236,20,-0.3,-2.3,6.2,43
Warren,1092889,1133796,1123132,1201462,24,3.7,-0.9,7,32
Washington,1205186,1258566,1007015,1070132,28,4.4,-20,6.3,40
Wayne,221809,212492,210611,238365,94,-4.2,-0.9,13.2,9
Webster,1902702,1891067,1816377,1859279,17,-0.6,-3.9,2.4,78
Winnebago,419824,389169,411441,469840,74,-7.3,5.7,14.2,7
Winneshiek,957898,961361,983554,1019880,32,0.4,2.3,3.7,68
Woodbury,4789898,4673380,4572924,4775286,9,-2.4,-2.1,4.4,63
Worth,278803,273934,280560,310397,90,-1.7,2.4,10.6,17
Wright,773563,668069,635107,734159,48,-13.6,-4.9,15.6,5
