GEOID,County_name,Attribute,Value
19001,Adair County,Grocery_stores_per_thousand,0.285
19001,Adair County,Supercenters_club_stores_per_thousand,0
19001,Adair County,Convenience_stores_per_thousand,0.999
19001,Adair County,Specialized_food_stores_per_thousand,0
19001,Adair County,Fast_food_restaurants_per_thousand,0.428
19001,Adair County,Farmers_markets_per_thousand,0.283
19001,Adair County,Percent_low_access_to_store_households,0.023
19001,Adair County,Food_insecurity_rate,0.096
19003,Adams County,Grocery_stores_per_thousand,0.269
19003,Adams County,Supercenters_club_stores_per_thousand,0
19003,Adams County,Convenience_stores_per_thousand,0.538
19003,Adams County,Specialized_food_stores_per_thousand,0
19003,Adams County,Fast_food_restaurants_per_thousand,0.538
19003,Adams County,Farmers_markets_per_thousand,0.274
19003,Adams County,Percent_low_access_to_store_households,0.003
19003,Adams County,Food_insecurity_rate,0.094
19005,Allamakee County,Grocery_stores_per_thousand,0.505
19005,Allamakee County,Supercenters_club_stores_per_thousand,0
19005,Allamakee County,Convenience_stores_per_thousand,0.577
19005,Allamakee County,Specialized_food_stores_per_thousand,0.072
19005,Allamakee County,Fast_food_restaurants_per_thousand,0.288
19005,Allamakee County,Farmers_markets_per_thousand,0.145
19005,Allamakee County,Percent_low_access_to_store_households,0.014
19005,Allamakee County,Food_insecurity_rate,0.084
19007,Appanoose County,Grocery_stores_per_thousand,0.4
19007,Appanoose County,Supercenters_club_stores_per_thousand,0.08
19007,Appanoose County,Convenience_stores_per_thousand,0.64
19007,Appanoose County,Specialized_food_stores_per_thousand,0.16
19007,Appanoose County,Fast_food_restaurants_per_thousand,0.72
19007,Appanoose County,Farmers_markets_per_thousand,0
19007,Appanoose County,Percent_low_access_to_store_households,0.029
19007,Appanoose County,Food_insecurity_rate,0.137
19009,Audubon County,Grocery_stores_per_thousand,0.177
19009,Audubon County,Supercenters_club_stores_per_thousand,0
19009,Audubon County,Convenience_stores_per_thousand,0.532
19009,Audubon County,Specialized_food_stores_per_thousand,0
19009,Audubon County,Fast_food_restaurants_per_thousand,0.355
19009,Audubon County,Farmers_markets_per_thousand,0.182
19009,Audubon County,Percent_low_access_to_store_households,0.019
19009,Audubon County,Food_insecurity_rate,0.091
19011,Benton County,Grocery_stores_per_thousand,0.117
19011,Benton County,Supercenters_club_stores_per_thousand,0
19011,Benton County,Convenience_stores_per_thousand,0.663
19011,Benton County,Specialized_food_stores_per_thousand,0
19011,Benton County,Fast_food_restaurants_per_thousand,0.234
19011,Benton County,Farmers_markets_per_thousand,0.195
19011,Benton County,Percent_low_access_to_store_households,0.022
19011,Benton County,Food_insecurity_rate,0.076
19013,Black Hawk County,Grocery_stores_per_thousand,0.181
19013,Black Hawk County,Supercenters_club_stores_per_thousand,0.03
19013,Black Hawk County,Convenience_stores_per_thousand,0.459
19013,Black Hawk County,Specialized_food_stores_per_thousand,0.083
19013,Black Hawk County,Fast_food_restaurants_per_thousand,0.632
19013,Black Hawk County,Farmers_markets_per_thousand,0.045
19013,Black Hawk County,Percent_low_access_to_store_households,0.024
19013,Black Hawk County,Food_insecurity_rate,0.099
19015,Boone County,Grocery_stores_per_thousand,0.151
19015,Boone County,Supercenters_club_stores_per_thousand,0
19015,Boone County,Convenience_stores_per_thousand,0.416
19015,Boone County,Specialized_food_stores_per_thousand,0.038
19015,Boone County,Fast_food_restaurants_per_thousand,0.303
19015,Boone County,Farmers_markets_per_thousand,0.038
19015,Boone County,Percent_low_access_to_store_households,0.013
19015,Boone County,Food_insecurity_rate,0.077
19017,Bremer County,Grocery_stores_per_thousand,0.242
19017,Bremer County,Supercenters_club_stores_per_thousand,0.04
19017,Bremer County,Convenience_stores_per_thousand,0.565
19017,Bremer County,Specialized_food_stores_per_thousand,0.081
19017,Bremer County,Fast_food_restaurants_per_thousand,0.403
19017,Bremer County,Farmers_markets_per_thousand,0.12
19017,Bremer County,Percent_low_access_to_store_households,0.013
19017,Bremer County,Food_insecurity_rate,0.062
19019,Buchanan County,Grocery_stores_per_thousand,0.19
19019,Buchanan County,Supercenters_club_stores_per_thousand,0.048
19019,Buchanan County,Convenience_stores_per_thousand,0.571
19019,Buchanan County,Specialized_food_stores_per_thousand,0.048
19019,Buchanan County,Fast_food_restaurants_per_thousand,0.333
19019,Buchanan County,Farmers_markets_per_thousand,0.047
19019,Buchanan County,Percent_low_access_to_store_households,0.048
19019,Buchanan County,Food_insecurity_rate,0.079
19021,Buena Vista County,Grocery_stores_per_thousand,0.247
19021,Buena Vista County,Supercenters_club_stores_per_thousand,0.049
19021,Buena Vista County,Convenience_stores_per_thousand,0.592
19021,Buena Vista County,Specialized_food_stores_per_thousand,0.099
19021,Buena Vista County,Fast_food_restaurants_per_thousand,0.395
19021,Buena Vista County,Farmers_markets_per_thousand,0.05
19021,Buena Vista County,Percent_low_access_to_store_households,0.021
19021,Buena Vista County,Food_insecurity_rate,0.082
19023,Butler County,Grocery_stores_per_thousand,0.272
19023,Butler County,Supercenters_club_stores_per_thousand,0
19023,Butler County,Convenience_stores_per_thousand,0.681
19023,Butler County,Specialized_food_stores_per_thousand,0.204
19023,Butler County,Fast_food_restaurants_per_thousand,0.204
19023,Butler County,Farmers_markets_per_thousand,0
19023,Butler County,Percent_low_access_to_store_households,0.029
19023,Butler County,Food_insecurity_rate,0.086
19025,Calhoun County,Grocery_stores_per_thousand,0.306
19025,Calhoun County,Supercenters_club_stores_per_thousand,0
19025,Calhoun County,Convenience_stores_per_thousand,0.714
19025,Calhoun County,Specialized_food_stores_per_thousand,0.102
19025,Calhoun County,Fast_food_restaurants_per_thousand,0.408
19025,Calhoun County,Farmers_markets_per_thousand,0.309
19025,Calhoun County,Percent_low_access_to_store_households,0.009
19025,Calhoun County,Food_insecurity_rate,0.088
19027,Carroll County,Grocery_stores_per_thousand,0.295
19027,Carroll County,Supercenters_club_stores_per_thousand,0.049
19027,Carroll County,Convenience_stores_per_thousand,0.589
19027,Carroll County,Specialized_food_stores_per_thousand,0.098
19027,Carroll County,Fast_food_restaurants_per_thousand,0.687
19027,Carroll County,Farmers_markets_per_thousand,0.099
19027,Carroll County,Percent_low_access_to_store_households,0.011
19027,Carroll County,Food_insecurity_rate,0.076
19029,Cass County,Grocery_stores_per_thousand,0.455
19029,Cass County,Supercenters_club_stores_per_thousand,0.076
19029,Cass County,Convenience_stores_per_thousand,0.607
19029,Cass County,Specialized_food_stores_per_thousand,0.076
19029,Cass County,Fast_food_restaurants_per_thousand,0.607
19029,Cass County,Farmers_markets_per_thousand,0.309
19029,Cass County,Percent_low_access_to_store_households,0.017
19029,Cass County,Food_insecurity_rate,0.108
19031,Cedar County,Grocery_stores_per_thousand,0.163
19031,Cedar County,Supercenters_club_stores_per_thousand,0
19031,Cedar County,Convenience_stores_per_thousand,0.761
19031,Cedar County,Specialized_food_stores_per_thousand,0.054
19031,Cedar County,Fast_food_restaurants_per_thousand,0.38
19031,Cedar County,Farmers_markets_per_thousand,0.161
19031,Cedar County,Percent_low_access_to_store_households,0.023
19031,Cedar County,Food_insecurity_rate,0.066
19033,Cerro Gordo County,Grocery_stores_per_thousand,0.255
19033,Cerro Gordo County,Supercenters_club_stores_per_thousand,0.046
19033,Cerro Gordo County,Convenience_stores_per_thousand,0.488
19033,Cerro Gordo County,Specialized_food_stores_per_thousand,0.093
19033,Cerro Gordo County,Fast_food_restaurants_per_thousand,0.882
19033,Cerro Gordo County,Farmers_markets_per_thousand,0.07
19033,Cerro Gordo County,Percent_low_access_to_store_households,0.009
19033,Cerro Gordo County,Food_insecurity_rate,0.092
19035,Cherokee County,Grocery_stores_per_thousand,0.263
19035,Cherokee County,Supercenters_club_stores_per_thousand,0
19035,Cherokee County,Convenience_stores_per_thousand,0.614
19035,Cherokee County,Specialized_food_stores_per_thousand,0
19035,Cherokee County,Fast_food_restaurants_per_thousand,0.789
19035,Cherokee County,Farmers_markets_per_thousand,0
19035,Cherokee County,Percent_low_access_to_store_households,0.016
19035,Cherokee County,Food_insecurity_rate,0.09
19037,Chickasaw County,Grocery_stores_per_thousand,0.249
19037,Chickasaw County,Supercenters_club_stores_per_thousand,0
19037,Chickasaw County,Convenience_stores_per_thousand,0.746
19037,Chickasaw County,Specialized_food_stores_per_thousand,0
