,CountyName,Year,Hogs,Beef Cattle,Milk Cattle,Other Cattle,CGY,SY,CP,CH,SP,SH
0,ADAIR,1968,164000.0,33900.0,3500.0,49600.0,84.0,32.3,76400.0,75000.0,54300.0,46400.0
1,ADAIR,1969,139000.0,34700.0,3300.0,52500.0,90.0,31.2,80000.0,77000.0,54300.0,44000.0
2,ADAIR,1970,168000.0,36400.0,3300.0,51300.0,84.1,33.9,84600.0,81500.0,54300.0,44400.0
3,ADAIR,1971,151000.0,38000.0,3000.0,47000.0,97.0,33.3,95700.0,92500.0,54300.0,43100.0
4,ADAIR,1972,140000.0,41300.0,2800.0,48900.0,109.0,33.0,85800.0,83500.0,54300.0,50400.0
5,ADAIR,1973,142000.0,39200.0,2300.0,49400.0,104.1,32.0,91600.0,88700.0,54300.0,53600.0
6,ADAIR,1974,129000.0,36400.0,2000.0,48100.0,57.3,26.5,104500.0,95300.0,54200.0,51600.0
7,ADAIR,1975,119600.0,37800.0,2100.0,49400.0,64.6,27.7,109400.0,101300.0,55500.0,55400.0
8,ADAIR,1976,128300.0,37700.0,2350.0,59250.0,100.1,30.3,113900.0,108800.0,52100.0,51900.0
9,ADAIR,1977,139100.0,39250.0,2325.0,61575.0,50.1,31.4,117600.0,109900.0,55000.0,54500.0
10,ADAIR,1978,145000.0,40800.0,2300.0,63900.0,103.7,33.6,115000.0,109000.0,55300.0,55000.0
11,ADAIR,1979,160000.0,37000.0,2200.0,60800.0,114.7,34.5,120000.0,116000.0,58800.0,58300.0
12,ADAIR,1980,165000.0,40000.0,2300.0,59700.0,89.7,37.5,120000.0,116000.0,59300.0,56500.0
13,ADAIR,1981,140000.0,41600.0,2200.0,59700.0,121.0,43.0,123000.0,120100.0,61400.0,61400.0
14,ADAIR,1982,115000.0,40300.0,2000.0,58100.0,102.2,32.7,119000.0,114900.0,62100.0,61900.0
15,ADAIR,1983,110000.0,33900.0,1800.0,57300.0,77.3,35.1,76000.0,73200.0,65200.0,65200.0
16,ADAIR,1984,107000.0,30200.0,1400.0,50400.0,97.4,25.4,117000.0,113500.0,63100.0,62900.0
17,ADAIR,1985,105000.0,27800.0,1100.0,41100.0,127.9,39.5,116000.0,111800.0,64300.0,64000.0
18,ADAIR,1986,87000.0,25000.0,1100.0,43900.0,128.3,42.0,105000.0,101900.0,69400.0,69200.0
19,ADAIR,1987,94000.0,25000.0,1100.0,42900.0,128.4,43.9,91000.0,89500.0,63400.0,63100.0
20,ADAIR,1988,96000.0,27000.0,1100.0,36900.0,86.1,28.6,99000.0,91700.0,68100.0,67800.0
21,ADAIR,1989,102000.0,28200.0,1300.0,37500.0,131.4,38.4,108000.0,105700.0,67900.0,67000.0
22,ADAIR,1990,93831.0,25900.0,1000.0,40100.0,115.1,36.7,114000.0,111700.0,66200.0,65800.0
23,ADAIR,1991,85662.0,25604.0,902.0,38707.0,126.4,42.4,111000.0,109200.0,69400.0,68900.0
24,ADAIR,1992,77494.0,25309.0,804.0,37314.0,140.0,41.6,114000.0,112400.0,70000.0,69800.0
25,ADAIR,1993,69325.0,25013.0,706.0,35921.0,76.8,31.4,105000.0,98400.0,77000.0,76700.0
26,ADAIR,1994,61156.0,24717.0,608.0,34529.0,151.0,49.8,110000.0,107800.0,77000.0,76900.0
27,ADAIR,1995,52988.0,24421.0,510.0,33136.0,85.0,30.7,100000.0,98000.0,86000.0,85800.0
28,ADAIR,1996,44819.0,24126.0,412.0,31743.0,119.9,37.1,107000.0,105000.0,96000.0,95800.0
29,ADAIR,1997,36650.0,23830.0,314.0,30350.0,120.1,40.1,99500.0,96400.0,95900.0,94500.0
30,ADAIR,1998,35024.0,23248.0,290.0,30438.0,142.7,43.4,104600.0,101300.0,95100.0,94500.0
31,ADAIR,1999,33398.0,22665.0,266.0,30526.0,139.3,42.2,106000.0,103600.0,101000.0,100800.0
32,ADAIR,2000,31772.0,22082.0,243.0,30613.0,131.8,40.0,105000.0,102700.0,102000.0,101800.0
33,ADAIR,2001,30146.0,21500.0,219.0,30701.0,127.3,39.2,102000.0,99600.0,99000.0,98400.0
34,ADAIR,2002,28520.0,23500.0,195.0,30789.0,154.3,47.2,108000.0,105000.0,97000.0,96300.0
35,ADAIR,2003,26023.0,22000.0,300.0,31200.0,131.3,28.1,103500.0,100500.0,101000.0,100600.0
36,ADAIR,2004,23525.0,23000.0,248.0,28889.0,182.1,51.7,108000.0,106000.0,98000.0,97700.0
37,ADAIR,2005,21028.0,26000.0,197.0,26578.0,159.0,48.8,109000.0,106500.0,96500.0,96000.0
38,ADAIR,2006,18530.0,26000.0,146.0,24268.0,164.9,51.0,104000.0,103300.0,101500.0,101000.0
39,ADAIR,2007,16033.0,24000.0,94.0,21957.0,160.7,53.3,116500.0,115100.0,91000.0,90900.0
40,ADAIR,2008,16500.0,19200.0,42.0,19646.0,169.0,45.5,104000.0,102000.0,106000.0,105300.0
41,ADAIR,2009,21473.0,18400.0,42.0,17336.0,179.3,51.5,113500.0,112000.0,94500.0,93900.0
42,ADAIR,2010,26446.0,17800.0,42.0,15025.0,139.1,48.7,105500.0,104500.0,102000.0,101300.0
43,ADAIR,2011,31419.0,17100.0,42.0,12714.0,152.8,50.3,112000.0,109300.0,103500.0,101900.0
44,ADAIR,2012,36392.0,17800.0,42.0,10403.0,104.4,38.6,110000.0,104500.0,105500.0,105200.0
45,ADAIR,2013,39637.0,18500.0,42.0,8092.0,137.8,36.8,113000.0,109900.0,104000.0,103500.0
46,ADAIR,2014,42881.0,19200.0,42.0,5782.0,169.3,50.0,109500.0,104300.0,106000.0,102700.0
47,ADAIR,2015,46126.0,19900.0,42.0,3471.0,176.5,55.1,112000.0,107400.0,106500.0,106100.0
48,ADAIR,2016,49370.0,20600.0,42.0,1160.0,190.3,59.3,115000.0,113800.0,107000.0,106700.0
49,ADAIR,2017,52615.0,21300.0,42.0,1160.0,175.2,50.5,108500.0,104100.0,110500.0,109900.0
50,ADAIR,2018,55860.0,22000.0,42.0,1160.0,149.5,50.1,108500.0,103100.0,106500.0,105700.0
51,ADAIR,2019,59104.0,22700.0,42.0,1160.0,176.6,53.3,111500.0,107300.0,101500.0,100900.0
52,ADAIR,2020,62349.0,23400.0,42.0,1160.0,168.7,48.1,109000.0,108200.0,106000.0,105200.0
53,ADAIR,2021,65593.0,24100.0,42.0,1160.0,169.0,48.0,109000.0,108200.0,106000.0,105200.0
54,ADAIR,2022,68838.0,24800.0,42.0,1160.0,164.2,47.5,110500.0,106700.0,107500.0,106800.0
55,ADAMS,1968,111000.0,22500.0,1500.0,33000.0,93.3,36.9,55800.0,55000.0,31000.0,32400.0
56,ADAMS,1969,102000.0,23300.0,1200.0,36000.0,89.0,29.7,58000.0,56000.0,31000.0,31000.0
57,ADAMS,1970,110000.0,24600.0,1000.0,33400.0,76.4,31.8,59900.0,57800.0,31000.0,28300.0
58,ADAMS,1971,99000.0,24700.0,800.0,30500.0,96.0,31.9,65100.0,63600.0,31000.0,27400.0
59,ADAMS,1972,87000.0,24300.0,700.0,33000.0,105.9,33.0,59000.0,57400.0,31000.0,30400.0
60,ADAMS,1973,83000.0,23800.0,600.0,28000.0,101.0,31.0,61600.0,59100.0,31000.0,30600.0
61,ADAMS,1974,72000.0,22300.0,600.0,28900.0,42.5,25.2,67800.0,60800.0,31700.0,31600.0
62,ADAMS,1975,76700.0,24600.0,600.0,31200.0,57.6,29.9,67100.0,62100.0,33800.0,33700.0
63,ADAMS,1976,90200.0,26500.0,500.0,40900.0,101.6,31.8,71700.0,68300.0,30900.0,30700.0
64,ADAMS,1977,83000.0,25200.0,500.0,39000.0,60.8,31.0,71900.0,68000.0,35300.0,35000.0
65,ADAMS,1978,87000.0,23900.0,500.0,37100.0,95.5,31.1,70000.0,67000.0,36200.0,36000.0
66,ADAMS,1979,92000.0,23000.0,600.0,32400.0,116.4,35.8,79000.0,73000.0,37500.0,37400.0
67,ADAMS,1980,95000.0,22000.0,600.0,29400.0,78.4,35.2,84000.0,74000.0,40100.0,38900.0
